"Time","NERSC-Perlmutter-CPU"
2025-09-28 23:00:00,655
2025-09-28 23:30:00,921
2025-09-29 00:00:00,995
2025-09-29 00:30:00,995
2025-09-29 01:00:00,995
2025-09-29 01:30:00,995
2025-09-29 02:00:00,995
2025-09-29 02:30:00,995
2025-09-29 03:00:00,995
2025-09-29 03:30:00,995
2025-09-29 04:00:00,995
2025-09-29 04:30:00,995
2025-09-29 05:00:00,995
2025-09-29 05:30:00,995
2025-09-29 06:00:00,995
2025-09-29 06:30:00,995
2025-09-29 07:00:00,995
2025-09-29 07:30:00,995
2025-09-29 08:00:00,995
2025-09-29 08:30:00,878
2025-09-29 09:00:00,793
2025-09-29 09:30:00,534
2025-09-29 10:00:00,262
2025-09-29 10:30:00,78
2025-09-29 11:00:00,
2025-09-29 11:30:00,
2025-09-29 12:00:00,
2025-09-29 12:30:00,
2025-09-29 13:00:00,
2025-09-29 13:30:00,
2025-09-29 14:00:00,124
2025-09-29 14:30:00,246
2025-09-29 15:00:00,397
2025-09-29 15:30:00,398
2025-09-29 16:00:00,398
2025-09-29 16:30:00,398
2025-09-29 17:00:00,537
2025-09-29 17:30:00,690
2025-09-29 18:00:00,796
2025-09-29 18:30:00,796
2025-09-29 19:00:00,796
2025-09-29 19:30:00,796
2025-09-29 20:00:00,796
2025-09-29 20:30:00,796
2025-09-29 21:00:00,796
2025-09-29 21:30:00,796
2025-09-29 22:00:00,796
2025-09-29 22:30:00,952
2025-09-29 23:00:00,1193
2025-09-29 23:30:00,1194
2025-09-30 00:00:00,1194
2025-09-30 00:30:00,1194
2025-09-30 01:00:00,1066
2025-09-30 01:30:00,930
2025-09-30 02:00:00,797
2025-09-30 02:30:00,796
2025-09-30 03:00:00,796
2025-09-30 03:30:00,931
2025-09-30 04:00:00,1019
2025-09-30 04:30:00,851
2025-09-30 05:00:00,796
2025-09-30 05:30:00,890
2025-09-30 06:00:00,1184
2025-09-30 06:30:00,1194
2025-09-30 07:00:00,1194
2025-09-30 07:30:00,1226
2025-09-30 08:00:00,1437
2025-09-30 08:30:00,1591
2025-09-30 09:00:00,1618
2025-09-30 09:30:00,1745
2025-09-30 10:00:00,1592
2025-09-30 10:30:00,1636
2025-09-30 11:00:00,1958
2025-09-30 11:30:00,1990
2025-09-30 12:00:00,1990
2025-09-30 12:30:00,1990
2025-09-30 13:00:00,1990
2025-09-30 13:30:00,1990
2025-09-30 14:00:00,1978
2025-09-30 14:30:00,1782
2025-09-30 15:00:00,1594
2025-09-30 15:30:00,1592
2025-09-30 16:00:00,1592
2025-09-30 16:30:00,1488
2025-09-30 17:00:00,1196
2025-09-30 17:30:00,1194
2025-09-30 18:00:00,1194
2025-09-30 18:30:00,1114
2025-09-30 19:00:00,943
2025-09-30 19:30:00,796
2025-09-30 20:00:00,625
2025-09-30 20:30:00,398
2025-09-30 21:00:00,398
2025-09-30 21:30:00,210
2025-09-30 22:00:00,3.50
2025-09-30 22:30:00,
2025-09-30 23:00:00,
2025-09-30 23:30:00,
2025-10-01 00:00:00,
2025-10-01 00:30:00,
2025-10-01 01:00:00,
2025-10-01 01:30:00,
2025-10-01 02:00:00,
2025-10-01 02:30:00,116
2025-10-01 03:00:00,116
2025-10-01 03:30:00,116
2025-10-01 04:00:00,116
2025-10-01 04:30:00,116
2025-10-01 05:00:00,116
